Observation_id,Phase,Behaviour,Behavioural_category.x,Modifier,Count,Phase_Duration_s,Rate_per_Phase_Duration,Duration_in_Phase_s,Total_Duration_s
Bayou_FC_09112022_1042,Silence_1,Htlt,Reaction,NA,1,80,0.0125,NA,NA
Bayou_FC_09112022_1042,Silence_1,Look,Reaction,At speaker,19,80,0.2375,NA,NA
Bayou_FC_09112022_1042,Silence_1,Look,Reaction,Away from speaker,1,80,0.0125,NA,NA
Bayou_FC_09112022_1042,Habituation,FVO,Reaction,Distance,12,252,0.047619047619047616,NA,NA
Bayou_FC_09112022_1042,Habituation,FVO,Reaction,Other,8,252,0.031746031746031744,NA,NA
Bayou_FC_09112022_1042,Habituation,FVO,Reaction,Recruitment,3,252,0.011904761904761904,NA,NA
Bayou_FC_09112022_1042,Habituation,HSH,Reaction,NA,1,252,0.003968253968253968,NA,NA
Bayou_FC_09112022_1042,Habituation,Htlt,Reaction,NA,2,252,0.007936507936507936,NA,NA
Bayou_FC_09112022_1042,Habituation,Look,Reaction,At speaker,4,252,0.015873015873015872,NA,NA
Bayou_FC_09112022_1042,Habituation,Look,Reaction,Away from speaker,2,252,0.007936507936507936,NA,NA
Bayou_FC_09112022_1042,Silence_2,Agn,Interaction,Towards other,1,53,0.018867924528301886,NA,NA
Bayou_FC_09112022_1042,Silence_2,FVO,Reaction,Departure,2,53,0.03773584905660377,NA,NA
Bayou_FC_09112022_1042,Silence_2,FVO,Reaction,Other,2,53,0.03773584905660377,NA,NA
Bayou_FC_09112022_1042,Silence_2,FVO,Reaction,Recruitment,7,53,0.1320754716981132,NA,NA
Bayou_FC_09112022_1042,Dishabituation,FVO,Reaction,Departure,3,246,0.012195121951219513,NA,NA
Bayou_FC_09112022_1042,Dishabituation,FVO,Reaction,Distance,8,246,0.032520325203252036,NA,NA
Bayou_FC_09112022_1042,Dishabituation,FVO,Reaction,Other,4,246,0.016260162601626018,NA,NA
Bayou_FC_09112022_1042,Silence_3,FVO,Reaction,Distance,10,63,0.15873015873015872,NA,NA
Bayou_FC_09112022_1042,Silence_3,HSH,Reaction,NA,1,63,0.015873015873015872,NA,NA
Bayou_FC_09112022_1042,Silence_3,Look,Reaction,At speaker,2,63,0.031746031746031744,NA,NA
Bayou_FC_09112022_1042,Silence_3,Look,Reaction,Away from speaker,3,63,0.047619047619047616,NA,NA
Bayou_FC_09112022_1042,Silence_3,Voc,Reaction,Distance,2,63,0.031746031746031744,NA,NA
Bayou_FC_09112022_1042,Silence_3,Voc,Reaction,Recruitment,1,63,0.015873015873015872,NA,NA
Bayou_FRF_19112022_1507,Silence_1,Agn,Interaction,Towards other,1,83,0.012048192771084338,NA,NA
Bayou_FRF_19112022_1507,Silence_1,FVO,Reaction,Other,1,83,0.012048192771084338,NA,NA
Bayou_FRF_19112022_1507,Silence_1,HSH,Reaction,NA,1,83,0.012048192771084338,NA,NA
Bayou_FRF_19112022_1507,Silence_1,Look,Reaction,At speaker,17,83,0.20481927710843373,NA,NA
Bayou_FRF_19112022_1507,Silence_1,Look,Reaction,Away from speaker,1,83,0.012048192771084338,NA,NA
