Observation_id,Behaviour,Modifier,Phase,Percentage
Anthony_FC_08112022_0843,Eat,With kin,Silence_2,77.08333333333334
Anthony_FC_08112022_0843,Eat,With kin,Dishabituation,1.6326530612244898
Anthony_FC_08112022_0843,Eat,With kin,Dishabituation,17.959183673469386
Anthony_FC_08112022_0843,Eat,With kin,Dishabituation,62.44897959183674
Anthony_FC_08112022_0843,Eat,With kin,Dishabituation,9.387755102040817
Anthony_FC_08112022_0843,Eat,With kin,Silence_3,50.72463768115942
Anthony_FC_08112022_0843,Eat,With kin,Silence_3,1.4492753623188406
Anthony_FC_08112022_0843,Eat,With kin,Silence_3,2.898550724637681
Anthony_FC_08112022_0843,Mov,Away from speaker,Silence_1,13.084112149532709
Anthony_FC_08112022_0843,Mov,Away from speaker,Silence_1,3.7383177570093453
Anthony_FC_08112022_0843,Mov,Away from speaker,Habituation,13.545816733067728
Anthony_FC_08112022_0843,Mov,Away from speaker,Habituation,9.163346613545817
Anthony_FC_08112022_0843,Mov,Away from speaker,Habituation,13.545816733067728
Anthony_FC_08112022_0843,Mov,Away from speaker,Habituation,0
Anthony_FC_08112022_0843,Mov,Away from speaker,Silence_2,10.416666666666668
Anthony_FC_08112022_0843,Mov,Away from speaker,Dishabituation,0.40816326530612246
Anthony_FC_08112022_0843,Mov,Away from speaker,Silence_2,0
Anthony_FC_08112022_0843,Mov,Away from speaker,Dishabituation,2.4489795918367347
Anthony_FC_08112022_0843,Mov,Away from speaker,Silence_3,15.942028985507244
Anthony_FC_08112022_0843,Mov,Away from speaker,Silence_3,11.594202898550725
Anthony_FC_08112022_0843,Mov,Away from speaker,Silence_3,14.492753623188406
Anthony_FC_08112022_0843,Mov,Towards speaker,Silence_1,4.672897196261682
Anthony_FC_08112022_0843,Mov,Towards speaker,Silence_1,14.018691588785046
Anthony_FC_08112022_0843,Mov,Towards speaker,Habituation,3.5856573705179287
Anthony_FC_08112022_0843,Mov,Towards speaker,Silence_2,12.5
Anthony_FC_08112022_0843,Pre,Alone,Silence_1,9.345794392523365
Anthony_FC_08112022_0843,Vig,Long neck,Habituation,9.56175298804781
Anthony_FC_08112022_0843,Vig,Long neck,Silence_1,3.7383177570093453
Anthony_FC_08112022_0843,Vig,Mid neck,Silence_1,7.476635514018691
Anthony_FC_08112022_0843,Vig,Mid neck,Silence_1,44.85981308411215
Anthony_FC_08112022_0843,Vig,Mid neck,Habituation,23.904382470119522
Anthony_FC_08112022_0843,Vig,Mid neck,Habituation,11.952191235059761
Anthony_FC_08112022_0843,Vig,Mid neck,Habituation,0.796812749003984
Anthony_FC_08112022_0843,Vig,Mid neck,Habituation,1.9920318725099602
Anthony_FC_08112022_0843,Vig,Mid neck,Habituation,0.796812749003984
Anthony_FC_08112022_0843,Vig,Mid neck,Habituation,6.374501992031872
Anthony_FC_08112022_0843,Vig,Mid neck,Habituation,2.788844621513944
Anthony_FC_08112022_0843,Vig,Mid neck,Habituation,1.593625498007968
Anthony_FC_08112022_0843,Vig,Mid neck,Silence_2,6.25
Anthony_FC_08112022_0843,Vig,Mid neck,Dishabituation,0.40816326530612246
Anthony_FC_08112022_0843,Vig,Mid neck,Silence_2,10.416666666666668
Anthony_FC_08112022_0843,Vig,Mid neck,Dishabituation,2.857142857142857
Anthony_FC_08112022_0843,Vig,Mid neck,Dishabituation,4.489795918367347
Anthony_FC_08112022_0843,Vig,Mid neck,Dishabituation,0.8163265306122449
Anthony_FC_08112022_0843,Vig,Mid neck,Silence_3,18.84057971014493
Anthony_FC_08112022_0843,Vig,Mid neck,Silence_3,10.144927536231885
Anthony_FC_08112022_0843,Vig,Mid neck,Silence_3,11.594202898550725
Anthony_FC_12102022_0942,Ass,Kin,Habituation,50
Anthony_FC_12102022_0942,Ass,Kin,Silence_1,100
Anthony_FC_12102022_0942,Ass,Kin,Dishabituation,52.04918032786885
Anthony_FC_12102022_0942,Ass,Kin,Habituation,3.149606299212598
Anthony_FC_12102022_0942,Ass,Kin,Silence_2,100
Anthony_FC_12102022_0942,Ass,Kin,Dishabituation,38.9344262295082
Anthony_FC_12102022_0942,Ass,Kin,Silence_3,100
Anthony_FC_12102022_0942,Eat,Alone,Dishabituation,10.655737704918032
