Original_code,Blind_code
Jumper_FRF_23112022_1058.MP4,GM92
Jurek_FRF_21112022_0946.MP4,NV45
Karolina_FRF_24112022_1114.MP4,CY33
Kendo_FRF_17112022_0934.MP4,MR42
L'amour_FRF_20112022_0955.MP4,PL63
Lando_FRF_24112022_1041.MP4,NH43
Lausbursch_FRF_20112022_0903.MP4,LN46
Leia_FRF_24112022_1144.MP4,JT62
Lindy Hop_ FRF_22112022_0959.MP4,QW34
Longshanks_FRF_23112022_1004.MP4,LN50
Lotta_FRF_21112022_1005.MP4,DZ53
Lukka_FRF_24112022_1129.MP4,GA97
Lupin_FRF_24112022_1056.MP4,QS99
Oberlix_FRF_23112022_1024.MP4,ZE69
Romy_FRF_19112022_1455.MP4,EW88
Rosenrot_FRF_20112022_0930.MP4,FL96
Triton_FRF_23112022_1039.MP4,VP98
Allegra_PRF_08102022_0856.MP4,JH15
Anthony_FRP_06112022_0945.MP4,BB69
Ballantine_PRF_17112022_0947.MP4,XP94
Bayou_FRP_17112022_1000.MP4,UR42
Bernard_FRP_13112022_0905.MP4,ZR55
Bruce Springsteen_PRF_09112022_0915.MP4,RN12
Diamante_FRP_13112022_0831.MP4,ZV73
Dorothea_FRP_02112022_0859.MP4,TJ50
Eastwood_PRF_12112022_0945.MP4,DS86
Hera_FRP_09112022_0950.MP4,HK77
Idgie_FRP_08112022_0934.MP4,DM46
Janosch_PRF_03112022_0929.MP4,VH25
JB_PRF_13112022_1044.MP4,EM45
Jessica_FRP_03112022_1015.MP4,RS84
Joe_FRP_09112022_0908.MP4,TV69
Jumper_FRP_15112022_1049.MP4,GZ48
Jurek_FRP2-06112022_0833.MP4,TB26
Karolina_PRF_13112022_1059.MP4,CH52
Kendo_PRF_09112022_0932.MP4,OJ50
L'amour_PRF_11112022_0915.MP4,ML56
Lando_FRP_11112022_1013.MP4,FW86
Lausbursch_PRF_12112022_0957.MP4,JX49
Leia_PRF_02112022_0927.MP4,JM91
Lindy Hop_PRF_12112022_0858.MP4,CC78
Longshanks_FRP_14112022_0938.MP4,WV75
Lotta_PRF_17112022_1039.MP4,SQ17
Lukka_FRP_03112022_1002.MP4,DR62
Lupin_PRF_07112022_0950.MP4,SH12
Oberlix_PRF_08112022_0912.MP4,MH75
Romy_PRF_13112022_0938.MP4,KK12
Rosenrot_PRF_13112022_1006.MP4,GD31
Taras_FRP_11112022_0843.MP4,MI76
Triton_FRP_13112022_1024.MP4,XL65
