Observation_id,Phase,Behaviour,Behavioural_category,Modifier,Point_Event_Count,Phase_Duration_s,Rate
Anthony_FC_08112022_0843,Dishabituation,FVO,Reaction,Distance,2,634,0.0031545741324921135
Anthony_FC_08112022_0843,Dishabituation,FVO,Reaction,Other,1,634,0.0015772870662460567
Anthony_FC_08112022_0843,Dishabituation,Look,Reaction,At speaker,8,634,0.012618296529968454
Anthony_FC_08112022_0843,Dishabituation,Look,Reaction,Away from speaker,8,634,0.012618296529968454
Anthony_FC_08112022_0843,Dishabituation,Voc,Reaction,Contact,4,634,0.006309148264984227
Anthony_FC_08112022_0843,Habituation,Agn,Interaction,Towards other,3,358,0.008379888268156424
Anthony_FC_08112022_0843,Habituation,FVO,Reaction,Distance,2,358,0.00558659217877095
Anthony_FC_08112022_0843,Habituation,FVO,Reaction,Other,3,358,0.008379888268156424
Anthony_FC_08112022_0843,Habituation,Fllw,Interaction,Kin,3,358,0.008379888268156424
Anthony_FC_08112022_0843,Habituation,HSH,Reaction,None,4,358,0.0111731843575419
Anthony_FC_08112022_0843,Habituation,Look,Reaction,At speaker,13,358,0.036312849162011177
Anthony_FC_08112022_0843,Habituation,Look,Reaction,Away from speaker,34,358,0.09497206703910614
Anthony_FC_08112022_0843,Habituation,Voc,Reaction,Contact,15,358,0.04189944134078212
Anthony_FC_08112022_0843,Silence_1,HSH,Reaction,None,3,106,0.02830188679245283
Anthony_FC_08112022_0843,Silence_1,Look,Reaction,At speaker,6,106,0.05660377358490566
Anthony_FC_08112022_0843,Silence_1,Look,Reaction,Away from speaker,9,106,0.08490566037735849
Anthony_FC_08112022_0843,Silence_1,Voc,Reaction,Contact,8,106,0.07547169811320754
Anthony_FC_08112022_0843,Silence_2,Look,Reaction,At speaker,6,404,0.01485148514851485
Anthony_FC_08112022_0843,Silence_2,Look,Reaction,Away from speaker,3,404,0.007425742574257425
Anthony_FC_08112022_0843,Silence_2,Voc,Reaction,Contact,1,404,0.0024752475247524753
Anthony_FC_08112022_0843,Silence_3,FVO,Reaction,Distance,1,720,0.001388888888888889
Anthony_FC_08112022_0843,Silence_3,HSH,Reaction,None,1,720,0.001388888888888889
Anthony_FC_08112022_0843,Silence_3,Look,Reaction,At speaker,7,720,0.009722222222222222
Anthony_FC_08112022_0843,Silence_3,Look,Reaction,Away from speaker,5,720,0.006944444444444444
Anthony_FC_08112022_0843,Silence_3,Voc,Reaction,Contact,1,720,0.001388888888888889
Anthony_FC_12102022_0942,Dishabituation,Agn,Interaction,Towards other,2,684,0.0029239766081871343
Anthony_FC_12102022_0942,Dishabituation,Fllw,Interaction,Kin,1,684,0.0014619883040935672
Anthony_FC_12102022_0942,Dishabituation,HSH,Reaction,None,8,684,0.011695906432748537
Anthony_FC_12102022_0942,Dishabituation,Look,Reaction,At speaker,13,684,0.019005847953216373
Anthony_FC_12102022_0942,Dishabituation,Look,Reaction,Away from speaker,12,684,0.017543859649122806
Anthony_FC_12102022_0942,Dishabituation,Voc,Reaction,Contact,19,684,0.027777777777777776
Anthony_FC_12102022_0942,Dishabituation,Voc,Reaction,Recruitment,1,684,0.0014619883040935672
Anthony_FC_12102022_0942,Habituation,Htlt,Reaction,None,1,387,0.002583979328165375
Anthony_FC_12102022_0942,Habituation,Look,Reaction,At speaker,24,387,0.06201550387596899
Anthony_FC_12102022_0942,Habituation,Look,Reaction,Away from speaker,22,387,0.056847545219638244
Anthony_FC_12102022_0942,Habituation,Voc,Reaction,Contact,2,387,0.00516795865633075
Anthony_FC_12102022_0942,Silence_1,Fllw,Interaction,Kin,1,141,0.0070921985815602835
Anthony_FC_12102022_0942,Silence_1,HSH,Reaction,None,4,141,0.028368794326241134
Anthony_FC_12102022_0942,Silence_1,Htlt,Reaction,None,1,141,0.0070921985815602835
Anthony_FC_12102022_0942,Silence_1,Look,Reaction,At speaker,21,141,0.14893617021276595
Anthony_FC_12102022_0942,Silence_1,Look,Reaction,Away from speaker,3,141,0.02127659574468085
