"Original_code","Blind_code"
"Joe_PRF_24102022_1058.tsv","ML27.tsv"
"Jumper_FRP_27102022_0952.tsv","IN87.tsv"
"Jurek_PRF_25102022_1106.tsv","WZ29.tsv"
"Karolina_FRP_17102022_1045.tsv","VE59.tsv"
"Koarl_PRF_28102022_0957.tsv","ZB99.tsv"
"Krummel_FRP_24102022_1027.tsv","RK76.tsv"
"Lando_FRP_28102022_1040.tsv","ZR51.tsv"
"Laufuss_PRF_30102022_0959.tsv","EM51.tsv"
"Lausbursch_PRF_17102022_0950.tsv","GF37.tsv"
"Leia_FRP_28102022_1026.tsv","NH51.tsv"
"Longshanks_FRP_23102022_1023.tsv","FC13.tsv"
"Lukka_PRF_24102022_1115.tsv","EL91.tsv"
"Luna_PRF_27102022_1006.tsv","OJ36.tsv"
"Lupin_FRP_23102022_1054.tsv","FM65.tsv"
"Natalie_FRP_27102022_1034.tsv","XK41.tsv"
"Oberlix_PRF_28102022_1012.tsv","ZX48.tsv"
"Olga_FRP_26102022_1115.tsv","FS52.tsv"
"Ornella_PRF_17102022_1015.tsv","QN56.tsv"
"Pudding_PRF_29102022_0953.tsv","AG59.tsv"
"Rosenrot_FRP_17102022_1020.tsv","QN28.tsv"
"Rubezahl_FRP_22102022_1810.tsv","RI98.tsv"
"Trevor_PRF_27102022_1050.tsv","BC74.tsv"
"Triton_FRP_24102022_1013.tsv","VI35.tsv"
"Allegra_FC_17112022_1052.tsv","VZ39.tsv"
"Anthony_FC_08112022_0843.tsv","LG98.tsv"
"Ballantine_FC_07112022_0855.tsv","ZV22.tsv"
"Bayou_FC_09112022_1042.tsv","SL59.tsv"
"Bernard_FC_11112022_0943.tsv","SI78.tsv"
"Bruce Springsteen_FC_13112022_0918.tsv","MZ46.tsv"
"Diamante_FC_14112022_1008.tsv","DP39.tsv"
"Dorothea_FC_08112022_0950.tsv","TV91.tsv"
"Eastwood_FC_15112022_0846.tsv","BX66.tsv"
"Hera_FC_12112022_0924.tsv","XE58.tsv"
"Idgie_FC_021120222_0828.tsv","AP39.tsv"
"Janosch_FC_17112022_1015.tsv","JI67.tsv"
"JB_FC_15112022_1022.tsv","PO48.tsv"
"Jessica_FC_07112022_0911.tsv","OM62.tsv"
"Joe_FC_11112022_0930.tsv","NL94.tsv"
"Jumper_FC_02112022_0911.tsv","PE19.tsv"
"Jurek_FC_12112022_1021.tsv","PZ10.tsv"
"Karolina_FC_15112022_0917.tsv","UQ38.tsv"
"Kendo_FC_12112022_1010.tsv","GD21.tsv"
"L'amour_FC_09112022_1028.tsv","XL52.tsv"
"Lando_FC_12112022_0911.tsv","ZY44.tsv"
"Lausbursch_FC_14112022_0901.tsv","NH87.tsv"
"Leia_FC_06112022_0905.tsv","JH77.tsv"
"Lindy Hop_FC_11112022_0956.tsv","SI24.tsv"
"Longshanks_FC_09112022_0849.tsv","VE85.tsv"
"Lotta_FC_19112022_1441.tsv","TZ85.tsv"
"Lukka_FC_02112022_0841.tsv","DD53.tsv"
"Lupin_FC_06112022_0931.tsv","VY29.tsv"
"Oberlix_FC_15112022_0859.tsv","RW30.tsv"
"Romy_FC_14112022_0915.tsv","ZJ51.tsv"
"Rosenrot_FC_15112022_0941.tsv","BG63.tsv"
