Observation_id,Phase,Behaviour,Behavioural_category,Modifier,Point_Event_Count
Anthony_FC_12102022_0942,Habituation,Htlt,Reaction,None,1
Anthony_FC_12102022_0942,Habituation,Look,Reaction,At speaker,24
Anthony_FC_12102022_0942,Habituation,Look,Reaction,Away from speaker,22
Anthony_FC_12102022_0942,Habituation,Voc,Reaction,Contact,2
Anthony_FC_12102022_0942,Silence_1,Fllw,Interaction,Kin,1
Anthony_FC_12102022_0942,Silence_1,HSH,Reaction,None,4
Anthony_FC_12102022_0942,Silence_1,Htlt,Reaction,None,1
Anthony_FC_12102022_0942,Silence_1,Look,Reaction,At speaker,21
Anthony_FC_12102022_0942,Silence_1,Look,Reaction,Away from speaker,3
Anthony_FC_12102022_0942,Silence_1,Voc,Reaction,Contact,2
Anthony_FC_12102022_0942,Silence_2,HSH,Reaction,None,1
Anthony_FC_12102022_0942,Silence_2,Look,Reaction,Away from speaker,3
Anthony_FC_12102022_0942,Silence_3,HSH,Reaction,None,4
Anthony_FC_12102022_0942,Silence_3,Htlt,Reaction,None,2
Anthony_FC_12102022_0942,Silence_3,Look,Reaction,At speaker,14
Anthony_FC_12102022_0942,Silence_3,Look,Reaction,Away from speaker,10
Anthony_FRF_21112022_0930,Dishabituation,FVO,Reaction,Distance,23
Anthony_FRF_21112022_0930,Dishabituation,FVO,Reaction,Other,1
Anthony_FRF_21112022_0930,Dishabituation,FVO,Reaction,Recruitment,1
Anthony_FRF_21112022_0930,Dishabituation,HSH,Reaction,None,5
Anthony_FRF_21112022_0930,Dishabituation,Htlt,Reaction,None,8
Anthony_FRF_21112022_0930,Dishabituation,Look,Reaction,At speaker,4
Anthony_FRF_21112022_0930,Dishabituation,Look,Reaction,Away from speaker,41
Anthony_FRF_21112022_0930,Habituation,FVO,Reaction,Distance,18
Anthony_FRF_21112022_0930,Habituation,Htlt,Reaction,None,8
Anthony_FRF_21112022_0930,Habituation,Look,Reaction,At speaker,3
Anthony_FRF_21112022_0930,Habituation,Look,Reaction,Away from speaker,5
Anthony_FRF_21112022_0930,Silence_1,FVO,Reaction,Distance,3
Anthony_FRF_21112022_0930,Silence_1,Htlt,Reaction,None,1
Anthony_FRF_21112022_0930,Silence_1,Look,Reaction,At speaker,1
Anthony_FRF_21112022_0930,Silence_1,Look,Reaction,Away from speaker,11
Anthony_FRF_21112022_0930,Silence_2,FVO,Reaction,Distance,5
Anthony_FRF_21112022_0930,Silence_2,HSH,Reaction,None,1
