Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Time (mm:ss)	Image index	Image file path	Comment
AF95	17/12/2023 20:41		724.88	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AF95.MP4	726.24	25	Jafar	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Ass	Interaction	Kin	START	1.36	0.02	G:/Individual recognition vids/Blind videos/AF95.MP4	34	NA
AF95	17/12/2023 20:41		724.88	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AF95.MP4	726.24	25	Jafar	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Pre	Time budget	With kin	START	1.36	0.02	G:/Individual recognition vids/Blind videos/AF95.MP4	34	NA
AF95	17/12/2023 20:41		724.88	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AF95.MP4	726.24	25	Jafar	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	5.00	0.08	G:/Individual recognition vids/Blind videos/AF95.MP4	125	NA
AF95	17/12/2023 20:41		724.88	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AF95.MP4	726.24	25	Jafar	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	14.40	0.24	G:/Individual recognition vids/Blind videos/AF95.MP4	360	NA
AF95	17/12/2023 20:41		724.88	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AF95.MP4	726.24	25	Jafar	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	22.00	0.37	G:/Individual recognition vids/Blind videos/AF95.MP4	550	NA
AF95	17/12/2023 20:41		724.88	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AF95.MP4	726.24	25	Jafar	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	32.52	0.54	G:/Individual recognition vids/Blind videos/AF95.MP4	813	NA
AF95	17/12/2023 20:41		724.88	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AF95.MP4	726.24	25	Jafar	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	At speaker	POINT	35.00	0.58	G:/Individual recognition vids/Blind videos/AF95.MP4	875	NA
AF95	17/12/2023 20:41		724.88	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AF95.MP4	726.24	25	Jafar	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Voc	Reaction	Contact	POINT	35.96	0.60	G:/Individual recognition vids/Blind videos/AF95.MP4	899	NA
AF95	17/12/2023 20:41		724.88	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AF95.MP4	726.24	25	Jafar	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Pre	Time budget	With kin	STOP	36.56	0.61	G:/Individual recognition vids/Blind videos/AF95.MP4	NA	NA
AF95	17/12/2023 20:41		724.88	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AF95.MP4	726.24	25	Jafar	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Vig	Time budget	Mid neck	START	36.56	0.61	G:/Individual recognition vids/Blind videos/AF95.MP4	914	NA
AF95	17/12/2023 20:41		724.88	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AF95.MP4	726.24	25	Jafar	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Vig	Time budget	Mid neck	STOP	38.08	0.63	G:/Individual recognition vids/Blind videos/AF95.MP4	NA	NA
AF95	17/12/2023 20:41		724.88	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AF95.MP4	726.24	25	Jafar	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Pre	Time budget	With kin	START	38.08	0.63	G:/Individual recognition vids/Blind videos/AF95.MP4	952	NA
AF95	17/12/2023 20:41		724.88	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AF95.MP4	726.24	25	Jafar	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	44.16	0.74	G:/Individual recognition vids/Blind videos/AF95.MP4	1104	NA
AF95	17/12/2023 20:41		724.88	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AF95.MP4	726.24	25	Jafar	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	At speaker	POINT	46.20	0.77	G:/Individual recognition vids/Blind videos/AF95.MP4	1155	NA
AF95	17/12/2023 20:41		724.88	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AF95.MP4	726.24	25	Jafar	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Pre	Time budget	With kin	STOP	54.68	0.91	G:/Individual recognition vids/Blind videos/AF95.MP4	NA	NA
AF95	17/12/2023 20:41		724.88	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AF95.MP4	726.24	25	Jafar	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Vig	Time budget	Long neck	START	54.68	0.91	G:/Individual recognition vids/Blind videos/AF95.MP4	1367	NA
AF95	17/12/2023 20:41		724.88	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AF95.MP4	726.24	25	Jafar	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Voc	Reaction	Contact	POINT	55.56	0.93	G:/Individual recognition vids/Blind videos/AF95.MP4	1389	NA
AF95	17/12/2023 20:41		724.88	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AF95.MP4	726.24	25	Jafar	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	At speaker	POINT	55.84	0.93	G:/Individual recognition vids/Blind videos/AF95.MP4	1396	NA
AF95	17/12/2023 20:41		724.88	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AF95.MP4	726.24	25	Jafar	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Vig	Time budget	Long neck	STOP	57.12	0.95	G:/Individual recognition vids/Blind videos/AF95.MP4	NA	NA
AF95	17/12/2023 20:41		724.88	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AF95.MP4	726.24	25	Jafar	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Pre	Time budget	With kin	START	57.12	0.95	G:/Individual recognition vids/Blind videos/AF95.MP4	1428	NA
AF95	17/12/2023 20:41		724.88	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AF95.MP4	726.24	25	Jafar	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	At speaker	POINT	66.04	1.10	G:/Individual recognition vids/Blind videos/AF95.MP4	1651	NA
AF95	17/12/2023 20:41		724.88	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AF95.MP4	726.24	25	Jafar	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Pre	Time budget	With kin	STOP	66.60	1.11	G:/Individual recognition vids/Blind videos/AF95.MP4	NA	NA
AF95	17/12/2023 20:41		724.88	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AF95.MP4	726.24	25	Jafar	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Vig	Time budget	Mid neck	START	66.60	1.11	G:/Individual recognition vids/Blind videos/AF95.MP4	1665	NA
AF95	17/12/2023 20:41		724.88	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AF95.MP4	726.24	25	Jafar	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	At speaker	POINT	67.20	1.12	G:/Individual recognition vids/Blind videos/AF95.MP4	1680	NA
AF95	17/12/2023 20:41		724.88	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AF95.MP4	726.24	25	Jafar	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Voc	Reaction	Contact	POINT	68.24	1.14	G:/Individual recognition vids/Blind videos/AF95.MP4	1706	NA
AF95	17/12/2023 20:41		724.88	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AF95.MP4	726.24	25	Jafar	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	At speaker	POINT	69.68	1.16	G:/Individual recognition vids/Blind videos/AF95.MP4	1742	NA
AF95	17/12/2023 20:41		724.88	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AF95.MP4	726.24	25	Jafar	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Vig	Time budget	Mid neck	STOP	74.76	1.25	G:/Individual recognition vids/Blind videos/AF95.MP4	NA	NA
AF95	17/12/2023 20:41		724.88	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AF95.MP4	726.24	25	Jafar	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Pre	Time budget	With kin	START	74.76	1.25	G:/Individual recognition vids/Blind videos/AF95.MP4	1869	NA
